Animal Class,Species Name,Common Name,Year,Continent,Countries
Mammal,Plagiodontia ipnaeum,Samana hutia,1500,North America,Haiti
Bird,Megalapteryx didinus,Upland moa,1500,Oceania,New Zealand
Bird,Dinornis,Giant moa,1500,Oceania,New Zealand
Bird,Emeus crassus,Eastern moa,1500,Oceania,New Zealand
Bird,Anomalopteryx didiformis,Bush moa,1500,Oceania,New Zealand
Bird,,Saint Helena dove,1502,Africa,Saint Helena
Bird,,Saint Helena rail,1502,Africa,Saint Helena
Bird,,Small Saint Helena petrel,1502,Africa,Saint Helena
Mammal,,Vespucci's rodent,1503,South America,Brazil
Mammal,,Flores cave rat,1510,Asia,Indonesia
Mammal,,Buhler's coryphomys,1510,Asia,Indonesia
Mammal,,Flores long-nosed rat,1510,Asia,Indonesia
Mammal,,Verhoeven's giant tree rat,1510,Asia,Indonesia
Mammal,,Large sloth lemur,1510,Africa,Madagascar
Bird,,Saint Helena hoopoe,1550,Africa,Saint Helena
Bird,Tyto pollens,Bahaman barn owl,1600,North America,Bahamas
Mammal,Cuban coney,Geocapromys columbianus,1600,North America,Cuba
Mammal,Boromys offella,Oriente cave rat,1600,North America,Cuba
Mammal,Boromys torrei,Torre's cave rat,1600,North America,Cuba
Mammal,,West Indies nesophontes,1600,North America,Cuba
Reptile,,Mauritius skink (Leiolopisma mauritiana),1600,Africa,Reunion
Bird,Telespiza persecutrix,Kauai finch,1600,Oceania,Hawaii
Mammal,Heteropsomys insulans,Hispaniolan edible rat,1600,North America,Haiti
Mammal,Hexolobodon phenax,Imposter hutia,1600,North America,Haiti
Mammal,Solenodon marcanoi,Marcano's solenodon,1600,North America,Haiti
Mammal,Isolobodon montanus,Montane hutia,1600,North America,Haiti
Mammal,Nesiotites similis,Sardinian giant shrew,1600,Europe,Italy
Mammal,Xenothrix mcgregori,Jamaican monkey,1600,North America,Jamaica
Mammal,Pennatomys nivalis,Nevis rice rat,1600,North America,Sint Eustatius
Bird,Malacorhynchus scarletti,Scarlett's duck,1600,Oceania,New Zealand
Bird,Biziura delautouri,New Zealand musk duck,1600,Oceania,New Zealand
Bird,Pachyornis elephantopus,Heavy-footed moa,1600,Oceania,New Zealand
Bird,Euryapteryx curtus,Coastal moa,1600,Oceania,New Zealand
Bird,Pachyanas chathamica,Chatham Islands duck,1600,Oceania,New Zealand
Bird,Aptornis defossor,Adzebill,1600,Oceania,New Zealand
Bird,Aegolius gradyi,Bermuda saw-whet owl,1600,North America,Bermuda
Bird,Bermuteo avivorus,Bermuda hawk,1603,North America,Bermuda
Bird,,Elephant bird,1610,Africa,Madagascar
Bird,,Mauritius starling,1610,Africa,Mauritius
Bird,,Ascension night heron,1610,Africa,Saint Helena
Mammal,Bos primigenius,Aurochs (lived across Euro-Asia continent),1627,Europe,Poland
Reptile,,Mauritian giant skink,1650,Africa,Mauritius
Bird,,Saint Helena crake,1650,Africa,Saint Helena
Bird,,Ascension flightless crake,1656,Africa,Saint Helena
Bird,,Dodo,1662,Africa,Mauritius
Bird,,Broad-billed parrot,1680,Africa,Mauritius
Bird,,Mascarene coot,1693,Africa,Mauritius
Bird,,Reunion shelduck,1700,Africa,Reunion
Bird,,Reunion night hero,1700,Africa,Reunion
Bird,,Reunion kestrel,1700,Africa,Reunion
Bird,,Reunion rail,1700,Africa,Reunion
Bird,,Reunion pink pigeon,1700,Africa,Reunion
Bird,,Reunion owl,1700,Africa,Reunion
Mammal,Isolobodon portoricensis,Puerto Rican hutia,1700,North America,Haiti
Bird,,Mauritius night-heron,1700,Africa,Mauritius
Bird,,Mauritian duck,1700,Africa,Mauritius
Bird,,Mauritian shelduck,1700,Africa,Mauritius
Mammal,Heteropsomys insulans,Insular cave rat,1700,North America,Puerto Rico
Mammal,Monophyllus frater,Puerto Rican long-nosed bat,1700,North America,Puerto Rico
Bird,,Reunion pigeon,1705,Africa,Reunion
Bird,,Red rail,1710,Africa,Mauritius
Bird,,Reunion gallinule,1730,Africa,Reunion
Bird,,Reunion flightless ibis,1750,Africa,Reunion
Bird,,Reunion sacred ibis,1750,Africa,Reunion
Reptile,,Domed Mauritius giant tortoise,1750,Africa,Mauritius
Reptile,,Saddle-backed Mauritius giant tortoise,1750,Africa,Mauritius
Bird,Ara guadeloupensis,Lesser Antillean macaw,1760,North America,Guadeloupe
Bird,Loxioides kikuchi,Kauai palila,1760,Oceania,Hawaii
Bird,,Rodrigues night-heron,1760,Africa,Mauritius
Bird,,Rodrigues owl,1760,Africa,Mauritius
Bird,,Rodrigues parrot,1760,Africa,Mauritius
Bird,,Rodrigues rail,1760,Africa,Mauritius
Bird,,Rodrigues starling,1760,Africa,Mauritius
Bird,Ara guadeloupensis,Lesser Antillean macaw (lived in North America),1760,North America,United States
Bird,,Mascarene grey parakeet,1764,Africa,Mauritius
Bird,,Mauritius grey parrot,1764,Africa,Mauritius
Mammal,Hydrodamalis gigas,Steller's sea cow,1768,Asia,Russia
Bird,Gallicolumba ferruginea,Tanna ground dove,1773,Oceania,Vanuatu
Mammal,Prolagus sardus,Sardinian pika,1774,Europe,Italy
Bird,Aplonis mavornata,Mysterious starling,1774,Oceania,New Zealand
Bird,Prosobonia ellisi,White-winged sandpiper,1777,Oceania,French Polynesia
Bird,Cyanoramphus ulietanus,Society parakeet,1777,Oceania,French Polynesia
Bird,Circus eylesi,Eyles's harrier,1777,Oceania,New Zealand
Bird,Gallirallus hypoleucus,Tongatapu rail,1777,Oceania,Tonga
Bird,,Rodrigues solitaire,1778,Africa,Mauritius
Bird,Amazona violacea,Guadeloupe parrot,1779,North America,Guadeloupe
Bird,Anodorhynchus purpurascens,Violet macaw,1779,North America,Guadeloupe
Bird,Amazona martinicana,Martinique parrot,1779,North America,Martinique
Bird,Aratinga chloroptera maugei,Mauge's parakeet,1779,North America,Puerto Rico
Bird,Amazona violacea,Guadeloupe parrot,1779,North America,Guadeloupe
Bird,Amazona martinicana,Martinique parrot,1779,North America,Martinique
Bird,,Reunion swamphen,1780,Africa,Reunion
Bird,,Reunion parakeet,1780,Africa,Reunion
Bird,Porzana nigra,Miller's rail,1784,Oceania,French Polynesia
Mammal,Bison bonasus hungarorum,Carpathian wisent (lived across Carpathian Mountains),1790,Europe,Romania
Bird,Eclectus infectus,Oceanic eclectus parrot ,1793,Oceania,Tonga
Mammal,,Bluebuck,1799,Africa,South Africa
Bird,Aratinga labati,Guadeloupe parakeet,1800,North America,Guadeloupe
Reptile,,Reunion giant tortoise,1800,Africa,Reunion
Bird,Tribonyx hodgenorum,Hodgens' waterhen ,1800,Oceania,New Zealand
Bird,Colaptes oceanicus,Bermuda flicker,1800,North America,Bermuda
Bird,Nyctanassa carcinocatactes,Bermuda night heron,1800,North America,Bermuda
Bird,,Saint Helena cuckoo,1800,Africa,Saint Helena
Bird,Dromaius baudinianus,Kangaroo Island emu,1805,Oceania,Australia
Reptile,,Domed Rodrigues giant tortoise,1810,Africa,Mauritius
Reptile,,Saddle-backed Rodrigues giant tortoise,1810,Africa,Mauritius
Bird,,Hooded seedeater,1823,South America,Brazil
Bird,Pomarea pomarea,Maupiti monarch,1823,Oceania,French Polynesia
Bird,,Bonin thrush,1827,Asia,Japan
Bird,Porzana monasa,Kosrae crake,1827,Oceania,Micronesia
Bird,Aplonis corvina ,Kosrae starling,1827,Oceania,Micronesia
Bird,,Bonin grosbeak,1828,Asia,Japan 
Bird,,Mascarene parrot,1834,Africa,Reunion
Bird,,Delalande's coua,1834,Africa,Madagascar
Bird,Moho apicalis,O'ahu 'o'o,1837,Oceania,Hawaii
Bird,Hemignathus lucidus lucidus,O'ahu nukupu'u,1837,Oceania,Hawaii
Reptile,Leiocephalus herminieri,Martinique curly-tailed lizard,1840,North America,Martinique
Reptile,Celestus occiduus,Jamaica giant galliwasp,1840,North America,Jamaica
Bird,,Mauritius blue pigeon,1840,Africa,Mauritius
Bird,Thinornis rossi,Aucland Islands shore plover,1840,Oceania,New Zealand
Reptile,Leiocephalus herminieri,Martinique curly-tailed lizard,1840,North America,Martinique
Reptile,,Rodrigues giant day gecko,1842,Africa,Mauritius
Mammal,Notomys macrotis,Big-eared hopping mouse,1843,Oceania,Australia
Bird,,Red-throated wood-rail,1843,South America,Peru
Mammal,Notomys mordax,Darling Downs hopping mouse,1846,Oceania,Australia
Bird,,Black-browed babbler,1848,Asia,Indonesia
Bird,Dromaius novaehollandiae diemenensis,Tasmanian emu,1850,Oceania,Australia
Bird,,Turquoise-throated puffleg,1850,South America,Colombia
Reptile,,Charles Island tortoise,1850,South America,Ecuador
Reptile,,Reunion giant tortoise,1850,Africa,Reunion
Bird,Aplonis ulietensis,Bay thrush,1850,Oceania,French Polynesia
Bird,Cyanoramphus zealandicus,Black-fronted parakeet,1850,Oceania,French Polynesia
Bird,Prosobonia cancellata,Christmas sandpiper,1850,Oceania,Kiribati
Bird,,Mauritius owl,1850,Africa,Mauritius
Mammal,,Lesser Mascarene flying fox,1850,Africa,Mauritius
Bird,,Spectacled cormorant,1850,Asia,Russia
Bird,Nestor productus,Norfolk kaka,1851,Oceania,Australia
Bird,Caloenas maculata,Liverpool pigeon,1851,Oceania,Australia
Bird,,Letitia's thorntail,1852,South America,Bolivia
Bird,Pinguinus impennis,Great auk (lived in the cold North Atlantic Coasts),1852,Europe,Iceland
Bird,Pinguinus impennis,Great auk (lived in the cold North Atlantic Coasts),1852,North America,Canada
Mammal,Megalomys luciae,Santa Lucian giant rice rat,1852,North America,Saint Lucia
Bird,Columba vitiensis godmanae,White-throated pigeon,1853,Oceania,Australia
Reptile,Pseudophilautus leucorhinus,,1856,Asia,Sri Lanka
Mammal,Conilurus albipes,White-footed rabbit-rat,1857,Oceania,Australia
Mammal,Pseudomys gouldii,Gould's mouse,1857,Oceania,Australia
Bird,Chaetoptila angustipluma,Kioea,1859,Oceania,Hawaii
Bird,Gallicolumba norfolciensis,Norfolk ground dove,1860,Oceania,Australia
Mammal,Neovison macrodon,Sea mink (lived in North America),1860,North America,United States
Mammal,Alces alces caucasicus,Caucasian moose (lived across Caucasus Mountains),1860,Asia,Turkey
Bird,,Reunion starling,1860,Africa,Reunion
Bird,,Bourbon crested starling,1860,Africa,Reunion
Bird,Myadestes woahensis,Amaui,1860,Oceania,Hawaii
Bird,Siphonorhis americana,Jamaican poorwill,1860,North America,Jamaica
Bird,Pachyornis australis,Crested moa,1860,Oceania,New Zealand
Reptile,Pseudophilautus maia,,1860,Asia,Sri Lanka
Mammal,,Lesser Mascarene flying fox,1862,Africa,France
Insect,,Mbashe River buff,1863,Africa,South Africa
Insect,Lycaena dispar dispar,British large copper,1864,Europe,United Kingdom
Reptile,Pseudophilautus temporalis,,1864,Asia,Sri Lanka
Bird,,Siau scops owl,1866,Asia,Indonesia
Bird,Cyanoramphus novaezelandiae subflavescenes,Red-crowned parakeet,1869,Oceania,Australia
Reptile,Pseudophilautus nanus,,1869,Asia,Sri Lanka
Reptile,Pseudophilautus nasutus,,1869,Asia,Sri Lanka
Bird,Ara tricolor,Cuban red macaw,1870,North America,Cuba
Bird,Coenocorypha barrierensis,North Island snipe,1870,Oceania,New Zealand
Bird,Chenonetta finschi,Finsch's duck,1870,Oceania,New Zealand
Reptile,Hoplodactylus delcourti,Kawekaweau,1870,Oceania,New Zealand
Bird,Eudyptes chathamensis,Chatham Islands penguin,1872,Oceania,New Zealand
Bird,Gallirallus dieffenbachii,Dieffenbach's rail,1872,Oceania,New Zealand
Bird,Ixobrychus novaezelandiae,New Zealand little bittern,1872,Oceania,New Zealand
Reptile,Pseudophilautus oxyrhynchus,,1872,Asia,Sri Lanka
Mammal,Pteropus brunneus,Dusky flying fox,1874,Oceania,Australia
Mammal,Pteropus pilosus,Large Palau flying fox,1874,Oceania,Palau
Mammal,Potorous platyops,Broad-faced potoroo,1875,Oceania,Australia
Bird,,Newton's parakeet,1875,Africa,Mauritius
Bird,Coturnix novaezelandidae,New Zealand quail,1875,Oceania,New Zealand
Bird,,Himalayan quail,1876,Asia,India
Mammal,,Cape lion,1876,Africa,South Africa
Reptile,Pseudophilautus hypomelas,,1876,Asia,Sri Lanka
Reptile,Pseudophilautus pardus,,1876,Asia,Sri Lanka
Mammal,,Falkland Island wolf,1876,South America,Falkland Islands [Islas Malvinas]
Bird,Camptorhynchus labradorius,Labrador duck (lived in North America),1878,North America,United States
Bird,Pterodroma caribbaea,Jamaican petrel,1879,North America,Jamaica
Mammal,Oryzomys antillarum,Jamaican rice rat,1879,North America,Jamaica
Insect,,Morant's blue,1879,Africa,South Africa
Bird,Chlorostilbon bracei,Brace's emerald,1880,North America,Bahamas
Mammal,,Atlas bear (lived across Atlas Mountains),1880,Africa,Algeria
Reptile,,Gunther's streamlined frog,1882,Asia,Sri Lanka
Reptile,Pseudophilautus extirpo,,1882,Asia,Sri Lanka
Bird,Porzana sandwichensis,Hawaiian rail,1883,Oceania,Hawaii
Mammal,,Quagga,1883,Africa,South Africa
Arachnid,Tityus exstinctus,,1884,North America,Martinique
Bird,,Seychelles parakeet,1886,Africa,Seychelles
Reptile,Pseudophilautus adspersus,,1886,Asia,Sri Lanka
Mammal,Cervus canadensis canadiensis,Eastern elk (lived in North America),1887,North America,United States
Bird,,Ryukyu kingfisher,1887,Asia,Japan
Mammal,Uromys porculus,Guadalcanal rat,1888,Oceania,Solomon Islands
Mammal,Lagorchestes leporides,Estern hare-wallaby,1889,Oceania,Australia
Bird,,Bonin nankeen night heron,1889,Asia,Japan
Bird,,Bonin wood pigeon,1889,Asia,Japan
Mammal,,Hokkaido wolf,1889,Asia,Japan
Bird,Hemignathus ellisianus lanaiensis,Lana'i 'akialoa,1890,Oceania,Hawaii
Fish,Romanogobio antipai,,1890,Europe,Romania
Fish,Coregonus restrictus,,1890,Europe,Switzerland
Bird,Rhodacanthis flaviceps,Lesser koa finch,1891,Oceania,Hawaii
Bird,,Sulu bleeding-heart,1891,Asia,Philippines
Bird,Ciridops anna,Ula-'ai-hawane,1892,Oceania,Hawaii
Bird,Dendroscansor decurvirostris,Long-billed wren,1892,Oceania,New Zealand
Mammal,Capra pyrenaica lusitanica,Portuguese ivex,1892,Europe,Portugal
Fish,Moxostoma lacerum,Harelip sucker,1893,North America,United States
Mammal,,Red gazelle,1894,Africa,Algeria
Bird,Chloridops kona,Kona grosbeak,1894,Oceania,Hawaii
Insect,Urania sloanus,Sloane's Urania butterfly,1894,North America,Jamaica
Bird,Xenicus lyalli,Lyall's wren,1894,Oceania,New Zealand
Bird,Porphyrio mantelli,North Island takahe,1894,Oceania,New Zealand
Bird,Bowdleria rufescens,Chatham fernbird,1895,Oceania,New Zealand
Bird,Rhodacanthis palmeri,Greater koa finch,1896,Oceania,Hawaii
Mammal,Microtus pennsylvanicus nesophilus,Gull Island vole,1897,North America,United States
Mammal,Oryzomys nelsoni,Nelson's rice rat,1897,North America,Mexico
Mammal,Rattus nativitatis,Bulldog rat,1898,Oceania,Australia
Bird,Drepanis pacifica,Hawai'i mamo,1898,Oceania,Hawaii
Mammal,Oligoryzomys victus,Saint Vincent pygmy rice rat,1898,North America,Saint Vincent and the Grenadines
Mammal,,One-striped opossum,1899,South America,Argentina
Reptile,Pseudophilautus halyi,,1899,Asia,Sri Lanka
Fish,Chondrostoma scodrense,,1900,Europe,Albania
Bird,Athene cunicularia amaura,Antiguan burrowing owl,1900,North America,Antigua and Barbuda
Bird,Athene cunicularia guadeloupensis,Guadeloupe burrowing owl,1900,North America,Guadeloupe
Bird,Porphyrio paepae,Marquesas swamphen,1900,Oceania,French Polynesia
Bird,Gallirallus pacificus,Tahitian red-billed rail,1900,Oceania,French Polynesia
Bird,Caracara lutosa,Guadalupe caracara,1900,North America,Guadeloupe
Insect,Agrotis photophila,Light-loving noctuid moth,1900,Oceania,Hawaii
Reptile,Tropidophis bucculentus,Navassa Island dwarf boa,1900,North America,Navassa Island
Reptile,Cyclura cornuta onchiopsis,Navassa Island iguana,1900,North America,Navassa Island
Bird,Cabalus modestus,Chatham Islands rail,1900,Oceania,New Zealand
Bird,Diaphorapteryx hawkinsi,Hawkins's rail,1900,Oceania,New Zealand
Bird,Corvus moriorum ,Chatham raven,1900,Oceania,New Zealand
Mammal,,Cape warthog,1900,Africa,South Africa
Reptile,Tachygia microlepis,Tonga ground skink,1900,Oceania,Tonga
Bird,,Tristan moorhen,1900,Africa,Saint Helena
Crustacean,Pacifastacus nigrescens,Sooty crayfish,1900,North America,United States
Insect,Coleophora leucochrysella,Chestnut casebearer moth,1900,North America,United States
Bird,Aratinga labati ,Guadeloupe parakeet,1900,North America,Guadeloupe
Bird,Hemiphaga novaeseelandiae spadicea,New Zealand pigeon,1901,Oceania,Australia
Mammal,Notomys longicaudatus,Long-tailed hopping mouse,1901,Oceania,Australia
Bird,Hemignathus sagittirostris,Greater 'amakihi,1901,Oceania,Hawaii
Insect,Melanoplus spretus,Rocky Mountain locust (lived in North America),1902,North America,United States
Bird,Mergus australis,New Zealand merganser,1902,Oceania,New Zealand
Mammal,Megalomys desmarestii,Antillean giant rice rat,1902,North America,Martinique
Mammal,Rattus macleari,Maclear's rat,1903,Oceania,Australia
Fish,Oncorhynchus clarki macdonald,Yellowfin cutthroat trout,1903,North America,United States
Mammal,Vulpes macrotis macrotis,Southern California kit fox,1903,North America,United States
Bird,Moho bishopi,Bishop's 'o'o,1904,Oceania,Hawaii
Bird,Microgoura meeki,Choiseul pigeon,1904,Oceania,Solomon Islands
Fish,Salvelinus neocomensis,,1904,Europe,Switzerland
Mammal,,Honshu wolf,1905,Asia,Japan
Mammal,Sorex ornatus juncensis,Tule shrew,1905,North America,United States
Bird,Anthornis melanocephala,Chatham bellbird,1906,Oceania,New Zealand
Mammal,Cervus canadensis merriami,Merriam's elk,1906,North America,United States
Bird,,Bogota sunangel,1907,South America,Colombia
Bird,Drepanis funerea,Black mamo,1907,Oceania,Hawaii
Bird,Heteralocha acutirostris,Huia,1907,Oceania,New Zealand
Mammal,Nyctimene sanctacrucis,Nendo tube-nosed fruit bat,1907,Oceania,Solomon Islands
Mammal,,De Winton's golden mole,1907,Africa,South Africa
Bird,Dasyornis broadbenti litoralis,Rufous bristlebird ,1908,Oceania,Australia
Bird,,Colombian grebe,1908,South America,Chile
Mammal,Equus ferus ferus,Tarpan,1909,Europe,Russia
